"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"106",0,1.60217943497829,0.415,0.094,0,"3","CEMIP"
"107",0,1.56127419201591,0.717,0.261,0,"3","BGN"
"108",0,1.55346725548703,0.442,0.087,0,"3","DCN"
"109",0,1.52241364866038,0.711,0.362,0,"3","IGFBP4"
"110",0,1.50459322733929,0.655,0.299,0,"3","TENM4"
"111",0,1.47904488103461,0.595,0.239,0,"3","NTM"
"112",0,1.39344488579336,0.891,0.63,0,"3","COL6A2"
"113",0,1.37264737577809,0.445,0.067,0,"3","KIAA1755"
"114",0,1.34495635099289,0.655,0.302,0,"3","BICC1"
"115",0,1.3376879100898,0.339,0.075,0,"3","NCAM2"
"116",0,1.2888367916569,0.539,0.223,0,"3","ITGA8"
"117",0,1.27482461171468,0.999,0.929,0,"3","COL1A2"
"118",0,1.25766683743447,0.6,0.176,0,"3","LAMA4"
"119",3.09086854189911e-290,1.27911241196518,0.647,0.43,7.67709928436902e-286,"3","PRICKLE1"
"120",2.56239285553513e-202,1.60942565147746,0.36,0.164,6.36447137457816e-198,"3","POSTN"
"121",0,2.41301570187518,0.887,0.483,0,"4","HIST1H4C"
"122",0,1.84585524054028,0.841,0.137,0,"4","CENPF"
"123",0,1.77466371300708,0.994,0.707,0,"4","H2AFZ"
"124",0,1.68807734703836,0.811,0.115,0,"4","TPX2"
"125",0,1.57423948108216,0.716,0.093,0,"4","TOP2A"
"126",0,1.48754279203382,0.928,0.367,0,"4","HMGA1"
"127",0,1.40504124950639,0.832,0.197,0,"4","HMGB2"
"128",0,1.38856272925717,0.843,0.231,0,"4","CKS1B"
"129",0,1.35939037465615,0.794,0.119,0,"4","BIRC5"
"130",0,1.31341646892287,0.806,0.121,0,"4","PCLAF"
"131",0,1.30922864962769,0.869,0.366,0,"4","UBE2S"
"132",0,1.30363110377279,0.678,0.067,0,"4","MKI67"
"133",0,1.30342945494892,0.746,0.074,0,"4","CLSPN"
"134",0,1.29396237533299,0.992,0.741,0,"4","TUBA1B"
"135",0,1.28025835403464,0.85,0.371,0,"4","TUBA1C"
"136",0,1.26369060579432,0.792,0.16,0,"4","TYMS"
"137",0,1.21717401294273,0.689,0.13,0,"4","CCNB1"
"138",0,1.21373737616794,0.562,0.054,0,"4","UBE2C"
"139",0,1.189790481653,0.69,0.079,0,"4","NUSAP1"
"140",0,1.17586029750122,0.762,0.126,0,"4","DIAPH3"
"141",0,1.17576382066271,0.997,0.88,0,"4","HSP90AA1"
"142",0,1.17163491645279,0.74,0.199,0,"4","CKS2"
"143",0,1.1657422627132,0.962,0.53,0,"4","DEK"
